supraregion	method	hemi	index	name	color
WhiteMatter	F	lh	2	wm-lh-segmented	#f5f5f5
WhiteMatter	F	lh	5001	wm-lh-unsegmented	#141e28
WhiteMatter	F	rh	41	wm-rh-segmented	#f5f5f5
WhiteMatter	F	rh	5002	wm-rh-unsegmented	#141e28
WhiteMatter	F	mid	250	wm-mid-cc-fornix	#ff0000
WhiteMatter	F	mid	251	wm-mid-cc-posterior	#000040
WhiteMatter	F	mid	252	wm-mid-cc-mid-posterior	#000070
WhiteMatter	F	mid	253	wm-mid-cc-central	#0000a0
WhiteMatter	F	mid	254	wm-mid-cc-mid-anterior	#0000d0
WhiteMatter	F	mid	255	wm-mid-cc-anterior	#0000ff
WhiteMatter	F	lh	7	wm-lh-cerebellum	#dcf8a4
WhiteMatter	F	rh	46	wm-rh-cerbellum	#dcf8a4
